"Title","Body","Status","Type","Repository","Area","Priority","Class of Service","PBS ID","Requirement ID","Feature ID","WBS ID","Test ID","Size","Cycle"
"F-ACT-01 | Contrat Action GitHub","Objective: Contrat Action GitHub | Feature ID: F-ACT-01 | Repository: instant-release_ACTIONS | PBS ID: S1.C1.SC1 | WBS ID: W2.1 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","DevOps","P1","Standard","S1.C1.SC1","","F-ACT-01","W2.1","","M",""
"F-ACT-02 | Pre-flight et guardrails execution","Objective: Pre-flight et guardrails execution | Feature ID: F-ACT-02 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC5 | WBS ID: W2.2 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","DevOps","P1","Standard","S1.C2.SC5","","F-ACT-02","W2.2","","M",""
"F-ACT-03 | Versioning/changelog/tag/release","Objective: Versioning/changelog/tag/release | Feature ID: F-ACT-03 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC2/SC3/SC4 | WBS ID: W2.3 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","DevOps","P1","Standard","S1.C2.SC2/SC3/SC4","","F-ACT-03","W2.3","","M",""
"F-ACT-04 | Qualite/securite/supply-chain CI","Objective: Qualite/securite/supply-chain CI | Feature ID: F-ACT-04 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC3/SC4/SC5/SC6 | WBS ID: W2.4/W2.5 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","DevOps","P1","Standard","S1.C4.SC3/SC4/SC5/SC6","","F-ACT-04","W2.4/W2.5","","M",""
"F-ACT-05 | Observabilite et evidence release","Objective: Observabilite et evidence release | Feature ID: F-ACT-05 | Repository: instant-release_ACTIONS | PBS ID: S1.C5.SC3/SC4 | WBS ID: W2.6 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","DevOps","P1","Standard","S1.C5.SC3/SC4","","F-ACT-05","W2.6","","M",""
"F-API-01 | Contrats API stats/config/executions","Objective: Contrats API stats/config/executions | Feature ID: F-API-01 | Repository: instant-release_API | PBS ID: S2.C3.SC1/SC2/SC3 | WBS ID: W3.1 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_API","API","P1","Standard","S2.C3.SC1/SC2/SC3","","F-API-01","W3.1","","M",""
"F-API-02 | Services metier API","Objective: Services metier API | Feature ID: F-API-02 | Repository: instant-release_API | PBS ID: S2.C3 + S1.C4.SC1 | WBS ID: W3.2 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_API","API","P1","Standard","S2.C3 + S1.C4.SC1","","F-API-02","W3.2","","M",""
"F-API-03 | Controllers API","Objective: Controllers API | Feature ID: F-API-03 | Repository: instant-release_API | PBS ID: S2.C3 + S1.C4.SC2 | WBS ID: W3.3 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_API","API","P1","Standard","S2.C3 + S1.C4.SC2","","F-API-03","W3.3","","M",""
"F-API-04 | Securite API (authN/authZ)","Objective: Securite API (authN/authZ) | Feature ID: F-API-04 | Repository: instant-release_API | PBS ID: S2.C3.SC4 | WBS ID: W3.4 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_API","API","P1","Standard","S2.C3.SC4","","F-API-04","W3.4","","M",""
"F-API-05 | Qualite et release API","Objective: Qualite et release API | Feature ID: F-API-05 | Repository: instant-release_API | PBS ID: S1.C4.SC4 | WBS ID: W3.5/W3.6 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_API","API","P1","Standard","S1.C4.SC4","","F-API-05","W3.5/W3.6","","M",""
"F-APP-01 | Dashboard App de pilotage","Objective: Dashboard App de pilotage | Feature ID: F-APP-01 | Repository: instant-release_APP | PBS ID: S2.C2.SC1 | WBS ID: W4.2 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_APP","Web","P1","Standard","S2.C2.SC1","","F-APP-01","W4.2","","M",""
"F-APP-02 | Console de configuration App","Objective: Console de configuration App | Feature ID: F-APP-02 | Repository: instant-release_APP | PBS ID: S2.C2.SC2 | WBS ID: W4.3 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_APP","Web","P1","Standard","S2.C2.SC2","","F-APP-02","W4.3","","M",""
"F-APP-03 | Journal d'execution App","Objective: Journal d'execution App | Feature ID: F-APP-03 | Repository: instant-release_APP | PBS ID: S2.C2.SC3 | WBS ID: W4.4 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_APP","Web","P1","Standard","S2.C2.SC3","","F-APP-03","W4.4","","M",""
"F-APP-04 | Qualite et release APP","Objective: Qualite et release APP | Feature ID: F-APP-04 | Repository: instant-release_APP | PBS ID: S1.C4.SC4 | WBS ID: W4.5/W4.6 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_APP","Web","P1","Standard","S1.C4.SC4","","F-APP-04","W4.5/W4.6","","M",""
"F-VIT-01 | Pages vitrine","Objective: Pages vitrine | Feature ID: F-VIT-01 | Repository: instant-release_VITRINE | PBS ID: S2.C1.SC1/SC2/SC3 | WBS ID: W5.2 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_VITRINE","Web","P1","Standard","S2.C1.SC1/SC2/SC3","","F-VIT-01","W5.2","","M",""
"F-VIT-02 | SEO/analytics diffusion","Objective: SEO/analytics diffusion | Feature ID: F-VIT-02 | Repository: instant-release_VITRINE | PBS ID: S5.C3 + S5.C4 | WBS ID: W5.4 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_VITRINE","Web","P1","Standard","S5.C3 + S5.C4","","F-VIT-02","W5.4","","M",""
"F-VIT-03 | Qualite et release VITRINE","Objective: Qualite et release VITRINE | Feature ID: F-VIT-03 | Repository: instant-release_VITRINE | PBS ID: S4.C3.SC3 + S1.C4.SC4 | WBS ID: W5.5/W5.6 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_VITRINE","Web","P1","Standard","S4.C3.SC3 + S1.C4.SC4","","F-VIT-03","W5.5/W5.6","","M",""
"F-X-01 | Integration cross-repo","Objective: Integration cross-repo | Feature ID: F-X-01 | Repository: instant-release_ACTIONS | PBS ID: S2.C4.SC3 | WBS ID: W6.1/W6.2 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","DevOps","P1","Standard","S2.C4.SC3","","F-X-01","W6.1/W6.2","","M",""
"F-X-02 | Readiness + evidence package","Objective: Readiness + evidence package | Feature ID: F-X-02 | Repository: instant-release_ACTIONS | PBS ID: S3.C2.SC5/SC6 | WBS ID: W6.3/W6.4/W6.5 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","DevOps","P1","Standard","S3.C2.SC5/SC6","","F-X-02","W6.3/W6.4/W6.5","","M",""
"F-DOC-01 | Tracabilite documentaire continue","Objective: Tracabilite documentaire continue | Feature ID: F-DOC-01 | Repository: instant-release_ACTIONS | PBS ID: S3.C2.SC6 | WBS ID: W1.1/W1.4 | Scope: Feature parent pour requirements associes","Backlog Qualifie","Feature","instant-release_ACTIONS","Docs","P1","Standard","S3.C2.SC6","","F-DOC-01","W1.1/W1.4","","M",""
